id,NAME,Quick Sort,TYPE,AFFINITY,MOVE,AP,STR,ARM,WILL,DEX,HEART,SK/PN,BIT,ABILITIES,ACTIONS,CARD BACK,FLAVOR,PRODUCT,REALM,STATUS,
1,Crystal Weaver,mini-boss,CONSTRUCT MINI-BOSS,purple,7,3,"Melee 1
5B",2B 1R,1B,4B,7,4,SUPER,Crystal Curse,"(Red 2) Crystalline Web: Melee, Wave 1, Slow

(Red 1) Mighty Leap: Melee 1, Pounce

(Blue 1) Seize Prey: Range 1, DEX Vs. DEX. Place the target adjacent to this model at the end of this model's activation.",,"The Midnight Tower is guarded by any number of nefarious traps, henchmen, and monsters. But none compare to the Crystal Weaver in pure corruption and unfeeling malignance. Once a sacred keeper of the Goddess Chamber, the Crystal Weaver was one of the wonders of Crystalia. That the Midnight Queen was able to taint it in both heart and form is a stain upon the land. Once in the shape of a mighty knight, the golem has taken on the twisted form of one of the Queen's spiders, and stalks the halls of her tower hunting down unfortunate Heroes with unfeeling adeptness. ",Crystal Golem,Midnight Tower,Complete,
2,Tanchyo Yajiri,monster,TANCHYO MINION,Emerald,7,2,2B,0W,2B,"Missile 8
3B",2,2,8-Bit,Retribution,,,"The north of Kagejima is dominated by vast expanses of sheltering forests. Dozens or hundreds of feet above the forest floor, clever dwellings dot the boughs and trunks, connected by walkways and rope bridges. These are the villages of clan Tanchyo. Living in the canopy, every member of clan Tanchyo has become an expert climber and marksman, as there is no better way to protect their tree-top homes. The archers of the Tanchyo, the Yajiri, are both plentiful and exceptionally skilled.",Clan Tanchyo,Kagejima,Complete,
3,Moon Princess,Hero,HUMAN HERO,Citrine/Ruby,6,3,"Melee 2
2R",1B 1R,"Magic 6
2R",3B,5,2,,Moon's Blessing,"(Red 2) Moonbeam: Magic, Lance 4

(Red 2) Moonlit Blade: Melee, Cross 2

(Green Potion) Tears of the Princess: Augment, Heal 1 for each Princess Coin that was spent this game.

(Blue Potion) Bottled Starlight: Augment, +2 Move, Proficient",,"Schooled since birth in the ancient, esoteric arcana of her family, the Moon Princess sometimes tires of merely watching the Moonlight Tournament. Sometimes, she wishes to pit her own strange and terrible power against the warriors competing to do her honor. Several true assassinations have been attempted during the Tournament, and surely more will come. In truth, this danger is part of what makes these outings so appealing.",Moon Princess,Kagejima,Complete,
4,Mr. Milky,Pet,CYPHER PET,Citrine,6,1,"Melee 1
1B 1R",2W,2W,2W,2,2,,Master gains Luck (2),"(Blue 1) Sustenance: Augment, Range 3. Roll 1R. Heal 1 for each star rolled.",,"Like many knights, Bang-Bang programmed her loyal cypher in Super Dungeon to play alongside her. But unlike most cyphers, Mr. Milky insists on playing his own character rather than leaving it up to a potentially clumsy AI. He hops up on a stool, furiously mashing the buttons in order to provide the Heroes with proper healing in their time of need. And all who play with him always appreciate it, a dedicated healer can be hard to find. They even graciously overlook his unusual method of healing.",Bang-Bang,Castle Town,Complete,
5,Black Snow,Hero,HUMAN HERO,Citrine,6,3,"Melee 1
2R","Def
3B",2B,3B,5,1,,I Know Nothing,"(Red 2) Frostblade: Melee 1, +1G STR, Ice

(Blue 1) I Have Returned: Augment, This model makes one basic melee attack for each Princess Coin the party has spent this game, up to a maximum of three. This action may only be taken once per turn.

(Green Potion) Glacial Draught: Augment, Heal 1 and gain Black Ice","Black Ice: 
https://drive.google.com/open?id=1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y

Heal:
https://drive.google.com/open?id=1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y

Ice:
https://drive.google.com/open?id=1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y

I Know Nothing: A model with this ability may not use the Open Chest action.

","Wandering the frozen expanses of Frostbyte Reach the outcast noble, Black Snow, watches for signs of the return of the Lich King. He hopes to one day end his watch and return to a life of peace and warmth. He wonders if he will succeed, on this... he knows nothing. ","NJD202082
Black Snow",Frostbyte Reach,Complete,
6,Steelhorse Candy,Hero,HUMAN HERO,Emerald/Sapphire,7,3,"Melee 1
3B",2R,2B,"Missile 6
3B",5,1,,Surefoot,"(Red 2) Ride On Through: Melee, Lance 6, Charge

(Blue 2) Lead Storm: Augment, Until the end of this model's activation, after moving two spaces, this model may make a basic missile attack. At the end of this model's activation it must discard one equipment card from the backpack.

(Blue Potion) Trucker Brew: Augment, +1 Action. This model suffers one wound.","Charge:

Surefoot:

https://drive.google.com/open?id=1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y
","Lost in a strange new land, Steelhorse Candy rides through the dungeons of Crystalia searching for a way home.","NJD202070
Steelhorse Candy",Castle Town,Complete,
7,Celebration Candy,Hero,HUMAN HERO,Citrine,6,3,"Melee 1
2R",3B,2B,3B,5,2,,Alchemy,"(Red 2) Soda Detector: Melee 1, +2R STR

(Red 2) Cake Toss: Missile 5, Burst 1, Knockdown

(Blue Potion) Nothing But Frosting: Augment, Heal 1, Remedy

(Blue Potion) Sugar Crash: Wave 2, Slow","Alchemy:

Heal X:

Knockdown:

Remedy:

Slow:

https://drive.google.com/open?id=1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y
","Join Candy and Cola in celebrating their 10th Anniversary! 

Soda Pop Miniatures would like to thank all of our incredible fans, old and new, who have joined us on our adventures!","NJD202068
Celebration Candy",,Complete,
8,Ryu,Hero,HUMAN HERO,Citrine,6,3,"Melee 1
2R",3B,3B,2B,5,1,,Protector,"(Red 2) Avenge the Weak: Melee 1, gain +1B STR during this action for each wound this Hero is suffering.

(Red 2) At Your Side: Place this Hero adjacent to another Hero that has two or more wound tokens. Then, this Hero may make one melee attack against each adjacent enemy.

(Green Potion) Soothing Herbs: Heal 2, Remedy","Heal X:

Protector: 

Remedy:

https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#","After falling prey to bandits, Ryu was saved by wandering monks. As he grew in their monastery, Ryu soon became a strong and focused fighter with an understandable hatred for those who preyed on the weak. ","NJD202056
Ryu",Kagejima,Complete,
9,Mochizuki,Hero,HUMAN HERO,Emerald/Ruby,5,3,"Melee 1
2B",3B,2R,"Missile 5
3B",5,1,,Dread,"(Red 2) Strike From The Shadows: Magic 5, if this offensive action causes a wound, this Hero may be placed adjacent to another Hero.

(Red 2) Assassin's Curse: Magic 5, +1R WILL, Mark

(Blue Potion) Smoke Bombs: Augment, Aura 2, Stealth","Dread:

Mark: 

Stealth:

https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#","Mochizuki eschews her school’s preference for subtle poisons or the concealed tanto in favor of the shock and power of paired pistols. Mochizuki is famed for appearing an instant before she turns her guns upon her target in a blaze of flame and thunder, and then vanishing again into the smoke.","NJD202054
Mochizuki",Kagejima,Complete,
10,Makerguild Engineer,Hero,DWARF HERO,Emerald/Sapphire,5,3,"Melee 1
3B",2B,3B,"Missile 5
2R",6,2,,Fortify,"(Red 2) Exploding Rocket Fist: Dangerous, Melee 3, +1B STR, Burst 1

(Red 2) Wrench Whack: Melee 1, +1R STR, Massive Damage

(Green Potion 1) Flubber Coating: Augment, +1B ARM, Spongy

(Blue Potion 2) Concussion Grenade: Dangerous, Range 3, Burst 2, Hex, Knockdown  
","Fortify:

Hex:

Knockdown:

Massive Damage:

Spongy:

https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#","I have just the thing, and I think it works!","NJD202071
Makerguild Engineer",Clockwork Cove,Complete,
11,Nagari Archpoisoner,Hero,NAGARI HERO,Emerald,7,3,"Melee 1
2B",3B,1B1R,"Missile 6
3B",5,2,,"Poison, Immune: Poison","(Red 2) Crimson Shot: Missile 6, +2B DEX, Bleed

(Red 2) Wither Away: Missile 6, +1R DEX, Bane

(Blue Potion) Poison Coating: Augment, All offensive actions this activation gain +2B and Poison.

(Blue Potion) Virulence: Augment, Aura 3, Virulent","Bane:

Bleed:

Immune: Poison

Poison:

Virulent:",Whether or not these sinister agents truly serve the Light is a matter of much debate.,"NJD202035
Nagari Archpoisoner",Wandering Monks,Complete,
12,Master of Chains,Hero,RIFTLING HERO,Ruby,6,3,2B,3B,"Magic 1
2B1R",3B,5,1,,Predator,"(Red 2) This Hurts Me Too: Magic 1, +2R WILL, Ravage

(Blue 1) Chains of Love: Range 6, WILL vs WILL, Pull 5

(Green Potion 1) Slime Slave: Augment, One Use Only, Free Coin 

(Blue Potion 1) Araphel's Wine: Augment, Oracle","Free Coin:

One Use Only:

Oracle:

Predator:

Ravage:

https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit","Skilled in breaking enemies’ wills and enslaving weaker minds, beware the snare of a priestess of Araphel! ","NJD204014
Master of Chains",Midnight Tower,Complete,
13,Mizaru,Hero,YAMAZARU HERO,Citrine/Ruby,6,3,"Melee 2
3B",3B,"Magic 4
3B",2R,5,1,,Read The Wind,"(Red 2) No Place To Hide: Melee 2, +1G STR, Immobile

(Red 2) Angry Winds: Magic, Wave 1, Push 2

(Blue 1) Acute Senses: Augment. Aura 3. Friendly models may reroll one die after rolling dice for any reason.

(Blue Potion) Sensei Sake: Augment. Wisdom","Immobile: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.yg34p2ijeteg


Read The Wind: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.pjptr46c4hxo

Wisdom: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.rh1syoboid5n","At age fourteen, Mizaru lost his sight due to a witch’s curse. His story might have ended there except that he refused to become bitter. He, instead, focused his anger into overcoming the setbacks his injury initially posed. Honing his senses until he could navigate trails by the sway and sound of his scabbard, identify others by scent, and track any movement by the slightest noise, Mizaru eventually became captain of the Yamazaru’s famed scouts.",Mizaru,Kagejima,Complete,
14,Mizuchi,Hero,IKA HERO,Emerald,6,3,"Melee 1
3B",3B,2B,"Missile 4
3B",5,1,,Sidestep,"(Red 2) Skewer: Missile, Lance 4, +1R DEX

(Blue 1) Flashing Spear: Augment. Aura 4. Friendly models may not be targeted by offensive actions, unless the model taking the action is adjacent to its target.

(Blue Potion) The Ocean's Grace: +3 Move",Sidestep: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.f7sro3ord1xv,"Cutting through the water with uncanny speed, like the silver tip of a spear, Mizuchi has defeated flotillas three times her own numbers and ships ten times the weight of her craft. Serious in demeanor, strategically clever, and ruthless in battle, Mizuchi’s ship, the Honor of Ishika, and a hail of fire arrows, are often the last things would-be invaders ever see.","NJD202057
Mizuchi",Kagejima,Complete,
15,Yokozuna,Hero,Human Hero,,6,3,"Melee 1
3R",3B,3B,2B,7,-,,"Immune: Poison, Liver of Steel","(Red 2) Deashi Charge: Melee, Wave 1

(Red 3) Belly Bump: Melee 1, +1R STR, Massive Damage, Push 2

(Blue 2) Dohyo-Iri: Magic, Wave 3, WILL v WILL, Compel 3, Knockdown","Immune: Poison

Knockdown

Liver of Steel

Massive Damage

https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit
","Ever eager to help, ever ready with a smile, a kind word, or a joke, Yokozuna commonly hoists an inebriated Shojo onto his ample shoulders. Curiously, he rarely drinks. Rumors say he drank whole taverns dry in his youth without becoming drunk, something Shojo considers a staggering tragedy.
","NJD202048
Yokozuna",Kagejima,Complete,
16,Frozen Queen,Hero,Human Hero,Ruby,6,3,2B,3B,"Magic 6
3B",3B,5,1,,"Ice, Immune: Ice","(Red 2) Stay Away: Magic, Wave 1, Push 3

(Red 3) Frozen Heart: Magic 3, +2B WILL, Massive Damage

(Blue 1) Personal Flurry: Augment, Aura 3, Stealth

(Blue Potion) Build a Snowman: Range 1, Immobile, Ice","Ice:

Immobile:

Immune: Ice

Massive Damage","Most believe the Frozen Queen is not truly evil despite her frequent conflicts with the Heroes of Crystalia. Indeed, the Frozen Queen has been known to assist Heroes in dire times of need. What prompts this assistance none can say.","NJD202039
Frozen Queen",Frostbyte Reach,Complete,
17,Fed-Up Farmer,Hero,FREYJAN HERO,Citrine,7,3,"Melee 3
3B",3B,2B,3B,5,1,,9 Lives,"(Red 2) Get Off My Land!: Melee 3, +1R STR, Massive Damage, Push 2

(Blue 1) Don't Need Yer Fancy City Gizmos: Augment. Discard one loot equipped to this model to take two basic attack actions.

(Green Potion) The Land Provides: Augment. All Heroes on or adjacent to difficult terrain squares and !X SPAWNING POINT ICON X! squares Heal 2.","9 Lives: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.i04bh72vnil0

Heal: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.evgkcvlle3v7

Massive Damage: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.f7zrn8eyokn5","""I don't know nothin' 'bout bein' no fancy city Hero from Crystalia Castle. I may be just a simple mouse farmer, but I know this: I'm sick and tired o' these Goddess-durned monsters traipsing all over my land! I've had enough! Hand me my pitchfork, sonny. It's time to show these city-folk how it's done...""","NJD202036
Fed-Up Farmer",Glauerdoom,Complete,
18,Ice Climber Candy,Hero,Human Hero,Citrine/Emerald,6,3,"Melee 2
2B 1R",3B,2B,3B,5,2,,Burrow,"(Blue 1) Stay Together: Augment, Range 6, Place target friendly model into a square adjacent to Ice Climber Candy. 

(Blue 1) Frostbyte Explorer: Augment, Aura 2, Hunter, Slayer

(Red Potion) Campfire: Melee 1, +1R STR, Fire 

(Blue Potion) Tent: One Use Only. Remove a Princess Coin from this Hero and return it to the backpack.","Burrow

Heal X:

Hunter:

Slayer:","Those thieving orcs came through this way. They met the kobolds here. Looks like there was a scuffle. After the dust settled they made camp together. And over here ... over here .... is where they drank my soda. 

They're all gonna pay!","NJD20214
Ice Climber Candy",Frostbyte Reach,Complete,
19,Kringle,Hero,Faerie Hero,Sapphire,5,3,1B,2B 1R,"Magic 6
2R",2B,6,2,,"Nice List, Luck","(Blue 1) Naughty List: Range 6, WILL v WILL, target and all models represented by the same card suffer Bane.

(Blue 1) Snug in Their Beds: Augment, Aura 3, +1B ARM 

(Blue Potion) Peppermint Hot Chocolate: Augment, Heal 2, Immune: Status Effects 

","Bane:

Heal X:

Immune: Status Effects

Luck:

Nice List:","The winter solstice is a time of family and celebration for the citizens of Crystalia. Warm around their hearths, sipping on mugs of hot chocolate, they tell stories of the mischievous faerie known as Kringle who rewards those who have been nice and punishes the naughty.","NJD202037
Kringle",Frostbyte Reach,Complete,
20,Bang-Bang,Hero,HUMAN HERO,Emerald,6,3,"Melee 1
3B",3B,2B,"Missile 6
2R",5,1,,"Pet: Mr. Milky, Wind of Blades","(Red 2) Deadeye: Missile 6, +1R DEX, Massive Damage

(Blue 1) Covering Fire: Augment, Range 6. Target another Hero. All offensive actions targeting the Hero reduce the result by 1W. This action may only be taken once per turn.

(Green Potion) A Tall Cool Glass: Augment. Heal 2. Remedy.",,"When Bang-Bang made a Super Dungeon character, she wanted to try something different. She played everything from mage to paladin, but it never felt right. Finally she settled on a pair of trusty flintlocks. They weren't so different from what she used every day, but she knew how to use them. And at least she had a wide selection of costumes. Most recently she has been rocking the witch hunter look to annoy Tahariel. ",Bang-Bang,Castle Town,Complete,
21,Benkei,Hero,HUMAN HERO,Citrine,5,3,"Melee 4
3B",2R,3B,2B,5,1,,Tough,"(Red 3) Heavenly Strike: Melee 4, +1R STR, Massive Damage, Improved Critical

(Blue 2) Blind Onslaught: Augment, this model makes three basic melee attacks without spending action points and then suffers one wound.

(Blue Potion) Potion of Might: Augment, Brutal Strike",,"Devotion to duty is a hallmark of many on Kagejima. For Benkei, devotion to duty is a defining characteristic. While his martial skill serves him well, it is his utter devotion to the Moon Throne that imparts his famous strength and fearlessness. They say that the gods could not move Benkei when he takes a stand in the Princess’s name.",Benkei,Kagejima,Complete,
22,Crystal Shaper,Hero,ELF WITCH HERO,Ruby,7,3,2B,3B,"Magic 6
2R",3B,5,1,,Crystal Shaping,"(Red 2) Jagged Growth: Magic, Wave 1, Immobile

(Blue 2) Crystal Encrusted: Range 3. Select any status effect token and place it on any piece of equipment equipped to a Hero within range. The Hero causes the status effect while they have the chosen equipment equipped. Remove the token the next time this action is taken.

(Green Potion) Shimmering Concoction: Augment, double all ARM bonuses granted by equipment.",,"In The Time Before, when only the Starlight Sea swirled within the cosmos, crystals were born in the etherium. Concentrated bits of arcana, emotion, and directionless will, the Goddess paired their primordial energy with her own to form Crystalia. Shapers tap into the Dark Realm to warp and reform crystals’ energies. While this can unlock incredible potential, it can also be easily abused.",Crystal Shaper,Midnight Tower,Complete,
23,Cupid,Pet,CYPHER PET,Emerald,6,1,2W,2W,2W,"Missile 6
2B",2,2,,"Fly, Master gains Potion Master (2)","(Blue 1) Cupid's Arrow: Dangerous, Range 6. Compel 3.",,"Knights often program their cypher into Super Dungeon to accompany them as a pet, and Tahariel is no exception. Cupid doesn't actually play himself, but he does watch his digital version over Tahariel's shoulder and shout encouragement when he's not whispering dark secrets about the nature of esper and the universe. ",Tahariel,Castle Town,Complete,
24,Gnomish Excavator,dungeon boss,GNOME DUNGEON BOSS,Emerald,4,4,4R,2G,3B,"Missile 10
2R 2G",10,4,SUPER,"Immune:Knockdown, Immune: Immobile, Burrow, Run Down","(Red 1) Juggernaut: Melee, Lance 4, Charge, this action affects models regardless of LoS.

(Red 1) Fragmentation Shell: Missile 10, Burst 2, Knockdown. This model must discard a crystal shell token from a square it occupies in order to take this action.

(Red 1) Concussion Shell: Missile 10, Massive Damage. This model must discard a crystal shell token from a square it occupies in order to take this action.",,BOOM BOOM BOOM BWAHAHAHA!,Gnomish Excavator,Dragonback Mines,Complete,
25,Hanzo,Hero,HUMAN HERO,Citrine,6,3,"Melee 2
1B 1G",3B,2B,2B 1R,5,1,,Mastery,"(Red 2) Flowing Blade: Melee, Wave 1

(Blue 1) Puff of Smoke: Dangerous, Range 6, DEX Vs. DEX, Hanzo and the target switch locations on the board. May not target spawning points.

(Blue Potion) Paralyzing Toxin: Augment, +1B STR, Immobile",,"Hanzo has been called many things over his long and storied life: master, teacher, monster. His team won the Moonlight Tournament twenty-two years ago through legendary speed and infamous cunning. He displayed all these qualities in the Sun Empire, but added another—treachery—for the first and only time, a Kagejima shinobi decided to stay with the Sun Court.",Hanzo,Kagejima,Complete,
26,House Phoenix Pugilist,Hero,KITSUNE HERO,Citrine,6,3,"Melee 1
3B",2R,2B,3B,5,1,,Surefoot,"(Blue 2) Punch, punch, punch!: Perform a basic melee attack. If it succeeds, move two spaces and make another basic melee attack against another target using one less die. Repeat this until there are no new targets, an attack misses, or there are no dice left.

(Red 2) The Finisher: Melee 1, +1R STR, Massive Damage

(Blue Potion) Ringside Canteen: Augment, Feint, +1B STR",,"The students of House Phoenix are fiery fighters, and their pugilists are the pride of their house. There is nothing the Dark Consul can throw at them that they can't pulverize, pummel, or otherwise punch into submission with their massive gauntlets. Pugilists are highly sought after by parties who need a little more hitting power as they confront the forces of darkness.",House Phoenix Pugilist,Castle Town,Complete,
27,Jorogumo,dungeon boss,SPIDER DUNGEON BOSS,Citrine,6,4,"Melee 3
2B 2G",2B 2R,1R 1G,3R,8,4,SUPER,"Poison, Immune: Poison, Surefoot, Webs","(Red 1) Spin Webs: Magic, Wave 1, this offensive action gains Massive Damage against models suffering Poison.

(Red 1) Silk Noose: Missile 8, Pull 6

(Blue 1) Feed on Essence: Heal 1 for each model suffering Poison within three squares and LoS. This action may only be taken once per activation.",,"
A horror, a cautionary tale, and a powerful opponent; the spider women called Jorogumo are terrifying and beautiful. They are descended from a witch. Centuries ago, she haunted the rivers and lakes of Kagejima and rescued the unwary or unfortunate from drowning. Full of kind words, she helped them to her home, and gave them dry clothes and warm soup. Slowly, she poisoned them, wrapped them in paralyzing power, and used them for dark and terrible spells. The magics she worked were too much for the land to bear, and Kagejima itself cursed this wicked woman with a shape that evoked her horrid nature. This terrible judgment carried to her offspring, who came to bear her form and her name. Now they plague Kagejima, luring the unsuspecting into their lairs and pouncing on unwary travelers. ",Jorogumo,Kagejima,Complete,
28,Karura,Hero,TANCHYO HERO,Citrine,5,3,"Melee 1
3B",3B,2B,3B,5,1,,"Fly, Saboteur","(Red 1) From The Sky: Melee 1, Pounce

(Blue 1) Snares: Wave 1, STR Vs. DEX, Immobile

(Blue Potion) Inventor's Muse: Augment, Improved Critical",,"Karura’s inquisitive nature has led him to tinker endlessly, and he has invented many wonderful things. The latest of these, a contraption of snares, wires, pulleys, and hooks, allows him to fly between trees, cliffs, and rooftops with all the grace and speed of his beloved avian cousins.",Karura,Kagejima,Complete,
29,Kitsune Chunin,mini-boss,KITSUNE MINI-BOSS,Citrine,5,3,"Melee 2
2R",1B 1G,3B,2R,7,4,SUPER,"Territorial, Poison, Surefoot","(Red 2) Cunning Blade: Melee, Cross 2.

(Blue 2) Hit And Run: Augment. Perform a basic offensive action. If it succeeds, move this model up to two squares and perform a basic offensive action against another target. Repeat this until this model fails an offensive action or there are no new targets.

(Blue 1) New Territory: Augment. The tile this model is on counts as the third tile for the purposes of the Territorial ability on monsters.",,"The Kitsune Chunin is the leader of the Kitsune Kunoichi. No outsider knows how the Chunin is chosen from the ranks of the Kunoichi, but it is speculated that Kunoichi are allowed to challenge the current Chunin for the title, ensuring that the strongest and most cunning is always in charge. He or she always wears a face-covering in battle to protect their identity should they choose to leave any survivors. The Chunin is equipped with the most deadly of the concoctions for which the Kitsune are famed, often using these poisons to coat their weapons.",Clan Kitsune,Kagejima,Complete,
30,Kitsune Kaiken,monster,KITSUNE MINION,Citrine,5,1,"Melee 1
2B",1W,2B,3B,1,1,8-Bit,"Territorial, Surefoot","(Red 1) Fox Strike: Melee 1, Pounce",,"The Kitsune inhabit the western faces of the mountains of Kagejima. These lands are covered in lush, wet forests which are full of strange and unpredictable kami. There are many tales of strange occurrences in these lands, such as travelers entering a village and emerging a century later over the course of what seemed to them a single night. Uncounted people have become lost in the twisting forests of the Kitsune, and the deeper one goes into their territory, the greater the danger grows. Kaiken are the backbone of the Kitsune forces that tend to the secret paths and hidden villages of the Kitsune.",Clan Kitsune,Kagejima,Complete,
