id,NAME,Quick Sort,TYPE,AFFINITY,MOVE,AP,STR,ARM,WILL,DEX,HEART,SK/PN,BIT,ABILITIES,ACTIONS,CARD BACK,FLAVOR,PRODUCT,REALM,STATUS,
58,Yamazaru Chunin,mini-boss,YAMAZARU MINI-BOSS,Citrine,7,3,"Melee 3
2R 2B",3B,1B 2R,2G,7,4,SUPER,Shiny Bauble,"(Red 2) Spinning Tetsubo: Missile, Wave 3

(Red 1) Monkey's Paw: Magic 3, Bane

(Blue 1) Endless Curiosity: Discard the the top card of the treasure deck. If it is not a treasure, discard until one is reached. Until the end of the next Hero turn, all monsters with Shiny Bauble gain the benefits of the treasure as if they had it equipped.","Bane: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.9omp97gkodaq

Shiny Bauble: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.ishd51xm3b4a","The Yamazaru are naturally curious and playful. They love new trinquets and fun items, and this even spills over into how they arm themselves for battle. Often, the Yamazaru Chunin is simply the one with the newest weapon, biggest club, or the most new trinquets to share with his or her fellow Yamazaru.",Clan Yamazaru,Kagejima,Complete,
59,Yamazaru Kaiken,monster,YAMAZARU MINION,Citrine,7,1,"Melee 1
3B",1W,2B,3B,1,1,8-Bit,Shiny Bauble,"(Red 1) The Mountain Sees: Magic, Wave 1, Ice","Ice: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.ko2w3xj1jql9

Shiny Bauble: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.ishd51xm3b4a","While the Yamazaru value stoicism and hard-edged practicality as survival traits, they see the harsh cold of their mountain homes as good reason to be warm and open in their lives. The weather often limits travel, forcing clan members to live closely with others. They gleefully play pranks, engaging in ""wars of smiles"" with neighboring villages. This gives the Yamazaru kaiken who fight side by side a warm bond rarely seen in the other clans.",Clan Yamazaru,Kagejima,Complete,
60,Yamazaru Kunoichi,monster,YAMAZARU MINION,Citrine/Emerald,7,1,"Melee 1
3B",0W,3B,"Missile 4
3B",1,1,8-Bit,Shiny Bauble,"(Red 1) The Mountain Disapproves: Magic 6, Hex

(Red 1) The Mountain Sees: Magic, Wave 1, Ice","Hex: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.40d66f1kcf9h

Ice: Ice: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.ko2w3xj1jql9

Shiny Bauble: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.ishd51xm3b4a","Yamazaru warriors are famous for unmatched feets of natural stamina. They engage in an activity called ""catching snow"" where they stand completely still for days. They swim wide mountain lakes without coming up for air. And many engage in the ritual called ""The Mountain Sees"" where they test their spiritual endurance in the treacherous mountain peaks. The Yamazaru kunoichi have mastered all of these feets.",Clan Yamazaru,Kagejima,Complete,
61,Yamazaru Madoushi,spawning point,YAMAZARU SPAWNING POINT,Ruby,2,1,2B,1W,"Magic 6
3B",2B,3,3,START/16-Bit,"Active Spawn, Shiny Bauble","(Blue 1) Mountain Flute: Range 6, WILL Vs. WILL, Push 6, Slow","Shiny Bauble: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.ishd51xm3b4a

Slow: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.smqjyeqc5qk8

Active Spawn: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.3ebd1h8ljyrv

Spawning Pool:
1 x Yamazaru Madoushi (spawning point)
2 x Yamazaru Kaiken
1 x Yamazaru Yajiri
1 x Yamazaru Oni
1 x Yamazaru Kunoichi","The Yamazaru madoushi are the spiritual leaders of the Yamazaru, often calling them to arms with the soft sounds of a mountain flute.",Clan Yamazaru,Kagejima,Complete,
62,Yamazaru Oni,monster,YAMAZARU ELITE,Citrine,7,4,"Melee 3
2B 1R",2B 1R,1B,3B,4,4,16-Bit,"Improved Critical, Shiny Bauble","(Red 2) Yamazura's Tail: Missile, Wave 3, Knockdown","Improved Critical: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.48o2ezf67jnx

Knockdown: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.7hpy790b5a2

Shiny Bauble: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.ishd51xm3b4a","The Yamazaru have rich spiritual lives which has granted them an intimate connection with their mountain home and the creatures that dwell there. The mighty monkey oni are fierce companions of the Yamazaru, defending them in times of danger and playfully playing tricks on them during times of peace.",Clan Yamazaru,Kagejima,Complete,
63,Yamazaru Yajiri,monster,YAMAZARU MINION,Emerald,7,1,3B,1W,2B,"Missile 6
3B",1,1,8-Bit,Shiny Bauble,"(Red 1) The Mountain Disapproves: Magic 6, Hex","Hex: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.40d66f1kcf9h

Shiny Bauble: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.ishd51xm3b4a","Yamazaru yajiri are expert marxmen, often hunting in blinding snow and among rocky mountain peaks. They brave the harsh, freezing conditions with a smile, bringing back game to be shared by their household. During times of strife they are called to action, where their skill with a bow is highly valued.",Clan Yamazaru,Kagejima,Complete,
64,Nu-Koa Seraph,Hero,NU-KOA HERO,Citrine/Ruby,6,3,"Melee1
3B","Def
2R","Magic 6
2R",2B,5,1,,"Fly, Tough","(red 2) Drain Life: Magic 6, Massive Damage. Any friendly Hero may Heal 1 for each wound inflicted.

(blue 1) Arcane Manipulation: WILL Vs. WILL, Wave 2, Compel 2

(blue 1) Channel: Augment, Aura 3, Fortify

(blue potion) Mind Sap: Augment. This Hero's offensive actions gain +1B for each enemy adjacent to them, to a maximum of +3B.","Fly: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.h0plbx8biyjm

Tough: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.cwvqkfykuidx

Massive Damage: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.f7zrn8eyokn5

Fortify:","Seraphs derive their arcane power from a deep, almost instinctual, understanding of the self. This understanding extends even to others, allowing the Seraph to tap into the arcane potential of those around them, often sapping the energy of their opponents to bolster their comrades.","NJD202033
Nu-Koa Seraph",Wandering Monk,Complete,
65,Frozen Queen,Dungeon Boss,Human Dungeon Boss,Sapphire,6,4,2B,1W4B,"Magic 6
1W6B",3B,8,4,SUPER,"Build a Snowman, Ice, Immune: Ice, Surefoot","(Red 2) Stay Away: Magic, Wave 3, Push 3

(Red 2) Frozen Heart: Magic 6, +2W WILL, Immobile

(Blue 1) Personal Flurry: Augment, Range 6, Stealth Aura



","Build a Snowman:

Ice:

Immobile:

Immune: Ice

Stealth Aura:",,,,Complete,
66,Onryo,Dungeon Boss,Undead Ghost Dungeon Boss,Amethyst,6,4,2B,3R,"Magic 6
2R 2G",2B 2R,8,4,SUPER,"Ghost, Ghostmancer, Immune: Status Effects","(Blue 1) Cursed Vision: Wave 3, WILL vs WILL, Immobile, Bane

(Blue 1) Unfortunate Accident: Range 8, WILL vs WILL, Target model makes a single basic attack of Onryo's choice against itself.

(Red 2) Final Day: Magic 1, +1G WILL, Massive Damage. This attack ignores Princess Coins.  

","Bane:

Ghost:

Ghostmancer:

Immobile:

Immune: Status Effects

Massive Damage:
","Into the darkness, under the trees. Into the water, follow me please. ","NJD203013
Onryo",Kagejima,Complete,"1.Onryo - Explore
2.Onryo - Boss Fight
3.Chochin-Obake - Explore
4.Onryo - Arcade
5.Chochin-Obake - Arcade
6.The Tape - Relic
7.Burial Robes - Treasure
8.Ofuda - Treasure
9.Cursed Remains - Treasure
10.Lock of Hair - Treasure
11.Torment Knife - Treasure
12.Treasured Toy - Treasure


"
67,Chōchin-Obake,Creep,Undead Ghost Creep,Amethyst,6,2,1B,3B,"Magic 1
1G",3B,1,1,8-Bit,"Ghost, Illumination,  Immune: Status Effects","(Red 2) Siphon Life: Magic 1, If this attack inflicts wounds, a friendly dungeon boss or mini-boss may heal an equal number of wounds. This Chōchin-Obake is then removed from play.","Ghost:

Illumination:

Immune: Status Effects",When spirits seek to break the veil between life and death it is the Chōchin-Obake who light their way. The more powerful of these ghostly apparitions pull the Chōchin-Obake through with them so that the ghostly minions can illuminate the souls of the living.,"NJD203013
Onryo",Kagejima,Complete,
68,Bomechan,Dungeon Boss,IJIN Dungeon-Boss,Citrine,7,4,"Melee 2
2R 2G",3B 1G,2B,3B,7,4,Super,"Predator, Rampage, Surefoot","(Red 2) A Tetsubo For Every Face: Melee 3, Burst 2

(Blue 1) Show of Strength: Wave 2, STR vs WILL, Compel 1

(Blue 1) Smoke Bomb: Augment, Aura 2, Stealth

(Blue 1) Oni Call: Once per activation. Spawn one Ijin Oni adjacent to Bomechan.","Predator: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.vfc8urbsdv7g

Rampage: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.l9bxdrrnwj62","Bomechan is a striking beauty of clan Ijin, but the pair of iron-spiked tetsubo, and her hearty laughter as she swings them, are her most arresting features. She loves a challenge, and she seeks to see herself on the Moon Throne, because she sees this as the greatest challenge of all.","NJD200006
Devil Island",Kagejima,Testing,
69,Claw Tribe War Mammoth,Hero,HUMAN MAMMOTH HERO,Emerald/Citrine,5,3,"Melee 2
2R 1G",3B,2B,"Missile 4
3B",7,1,,"Already Armed, Surefoot","(Red 1) Trunk Toss: Dangerous. Throw 4

(Red 2) MAMMOTH STOMP: Melee 2, +1R STR, Massive Damage

(Blue Potion) Mammoth Musk: Fury","Already Armed: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.n8ie7ppbs17

Fury: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.vzhyo1rlk255

Massive Damage: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.f7zrn8eyokn5

Surefoot: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.lhfhjyk4tmjo

Throw: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.vd162a31vqw0",,Claw Tribe War Mammoth,Dragonback Peaks,Draft,
70,The Enchanter,Dungeon Boss,GNOME DUNGEON BOSS,Ruby,6,4,4R,1W 1B 1R 1G,"Magic 4
2R 2G",3B,8,4,SUPER,Wonders For Sale,"(red 2) Ramming Speed!: Melee, Lance 6, Charge

(red 2) Weight of Wonder: Magic 4, this offensive action gains +1R WILL and deals one additional wound for each treasure equipped to the target.

(blue 1) Nibble The Toes!: All Boo Booties Heal 1 and then may make a basic offensive action.","Charge: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.wo11831matar

Heal: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.evgkcvlle3v7

Wonders For Sale: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.aja8qqk1tjq3",,The Enchanter,Castle Town,Draft,
71,The Penitent Paladin,Hero,HUMAN HERO,Citrine/Sapphire,6,3,"Melee 1
2R",2B 1R,3B,2B,5,1,,Blessed Strike,"(red 2) Smite: Melee 1, +1R STR, Knockdown, Fire

(blue 1) Eat My Hat: Augment, Range 3, discard a ruby equipment card from the backpack to Heal 3. This action may only be taken once per turn.

(green potion) We Will Deliver!: Augment, Favors of the Goddess","Favors of the Goddess: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.pswlfh6ax6sr

Blessed Strike: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.acyoasvz6tow

Heal: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.evgkcvlle3v7

Knockdown: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.zcww99zo567

Fire: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.eqc1r74zs1me",,,Castle Town,Draft,
72,Princess Citrine,Hero,Human Hero,Citrine,6,3,"Melee 1
2B1R",2R,2B,3B,6,1,,Military Acumen,"(red 2) Chain Gauntlet: Melee 5, +1R STR, Pull 4

(blue 2) Tactical Positioning: Augment, Wave 3, Compel 3 

(green potion) Soldier's Brew: Augment, Immune: Status Effects, +2B ARM  

","Immune: Status Effects

Military Acumen:","With her commanding presence, Citrine found her calling as a warrior and general. She possesses a keen insight for battlefield maneuvers, and her boisterous and bawdy personality ingratiated her immediately with the soldiery. Joining her father on many campaigns, her mere presence serves as a rallying cry to the soldiers of Crystalia and her strength at arms turns many a battle in the King’s favor.
","NJD202069
Princess Citrine",Clockwork Cove,Complete,
73,Witch Exterminator,Hero,Human Hero,Citrine/Ruby,6,2,2B,3B,"Magic 5
2R",1B1R,5,3,,"Potion Master, Stingy, Stocked","(blue 1) Brew Potion: Augment, This model gains one potion token.

(red potion) Rat Bomb: Magic 3, Burst 1, +1R WILL, Poison

(red potion) Corrosion Bomb: Magic 3, +1R WILL, Bane, Hex

(blue potion) Vortex Bomb: Range 3, Burst 2, Artillery, Pull 1 ","Artillery:

Poison:

Potion Master:

Stingy:

Stocked:",Don't touch that! Do you want to blow us all to the Goddess!?,"NJD202072
Witch Exterminator",Clockwork Cove,Complete,
74,Musashi,Hero,Human Hero,Citrine,6,3,"Melee 2
2B 1R",3B,1B1R,2B,5,1,,Mastery,"(red 2) Two Heavens: Melee, Lance 6, Charge

(red 2) Martial Master: Melee 2, +1R STR, Feint

(red potion) : Makeshift Weapon: Melee 6, Hookshot ","Charge:

Feint:

Hookshot:

Mastery:
","For years, Musashi has wandered Kagejima, studying, debating, and fighting with and alongside masters from every school he could find. After some years, he found that he no longer sought to master the sword; he sought to master himself. Since the tool no longer mattered, he abandoned his weapon for a pair of mighty oars. Now he travels on, searching for himself, and refining the art of the wooden blades.","NJD202062
Musashi",Kagejima,Complete,
75,Arashikage,Mini-Boss,Human Mini-Boss,Citrine,7,3,"Melee 1
2B 2R",2B 1R,2B,2R,7,4,Super,"Backstabber, Counterstrike, Surefoot","(red 2) Cobra Strike: Melee 1, +1R STR, Improved Critical

(red 2) Black Arrow: Missile, Lance 6, +3B DEX ","Backstabber:

Counterstrike:

Improved Critical:

Surefoot:","""I can kill him, yes, but only if you tell me what I need to know.""","NJD204016
Arashikage",Kagejima,Complete,
76,Arashikage,Hero,Human Hero,Citrine,7,3,"Melee 1
2B1R",3B,2B,2R,5,1,,"Counterstrike, Surefoot","(red 2) Cobra Strike: Melee 1, +1R STR, Improved Critical

(red 2) Black Arrow: Missile 6, +2B DEX

 (green potion) Betrayal Brew: Augment, Backstabber","Backstabber:

Counterstrike:

Improved Critical:

Surefoot:","""I can kill him, yes, but only if you tell me what I need to know."" ","NJD204016
Arashikage",Kagejima,Complete,
77,Komuso,Hero,Human Hero,Sapphire/Ruby,6,3,"Melee 2
3B",3B,2R,1B1R,5,1,,Blessed Strike,"(blue 1) Resolute Melody: Augment, Aura 3, +1B ARM

(red 2) Haunting Melody: Magic 10, +1B WILL, Ice

(blue potion) Elixir of Courage: Augment, Protector","Blessed Strike:

Ice:

Protector:","Komuso monks bring a calm demeanor and wise words wherever they go. Only the basest men fight for money, though, and Komuso will accept food or supplies, but no other material payment. Instead, they often demand favors, prayers, or offerings at certain shrines.","NJD202088
Komuso",Kagejima,Complete,
78,Akkorokamui,Hero,IKA HERO,Ruby,6,3,"Melee 2
3B",2R,2B,"Missile 5
2R",5,1,,Privateer,"(Red 2) Get Over Here!: Missile 5, +1G DEX, if the target suffers a wound and is not destroyed, place it adjacent to this model.

(Red 2) Whirling Iron: Missile, Wave 1, Knockdown

(Green Potion) The Ocean's Revenge: Augment. +1B ARM. Deadly Defense","Deadly Defense: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.n7699tmrvd9n

Knockdown: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.zcww99zo567

Privateer: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.5yqeqr3ttquk",,"NJD201507
Clan Ika",Kagejima,Layout,"1.Akkorokamui
2.Ika Chunin - Explore
3.Ika Madoushi - Explore
4.Ika Oni - Explore
5.Ika Kunoichi - Explore
6.Ika Kaiken - Explore
7.Ika Yajiri - Explore
8.Ika Chunin - Arcade
9.Ika Madoushi - Arcade
10.Ika Oni - Arcade
11.The Kraken's Jaws - Arcade
12. Squid Ink Potion"
79,Yobuko,Mini-Boss,IJIN Mini-Boss,Citrine,6,3,"Melee 1
2R 1G",2R,2B,3B,6,4,Super,"Brutality Aura, Improved Critical, Tough","(Red 2) Demon Rush: Melee, Lance 4, Charge

(Red 2) Rampaging Fists: Melee, Wave 1, +1G STR

(Blue 1) Demonic Challenge: Wave 3, STR vs WILL, Pull 2","Charge: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.wo11831matar

Improved Critical: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.48o2ezf67jnx

","Tall, strong, and fierce, Yobuko is also young and inexperienced compared to his Ijin counterparts. This blend of natural ability coupled with an, as yet, unrivaled capacity to fight might be the most frightening aspect about him. His power is already so incredible that he is the rival of many of his masters, and he is also constantly testing his mettle against full-blooded oni twice his size to the amazement of all of his clansmen.",Yobuko,Kagejima,Testing,
80,Ijin Chunin,mini-boss,IJIN Mini-Boss,Citrine,6,3,"Melee 2
2G",2B 1R,2B,3B,6,4,SUPER,Rampage,"(Red 2) Finish The Weak: Melee 2, this model gains +1B STR during this action for each wound on the target.

(Red 2) Double Slash: Melee 2, Massive Damage, Brutal Strike

(Blue 1) Battle Howl: Until the end of the turn, all friendly monsters gain red dice due to the Rampage ability instead of blue dice.
","Brutal Strike: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.xcj34v6bwv8z

Massive Damage: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.f7zrn8eyokn5

Rampage: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.l9bxdrrnwj62","To the Ijin, strength is the ultimate test. Those who cannot fight cannot command respect. Those who cannot win cannot lead. Those who cannot lead must follow and serve those who can. An Ijin chunin has fought and won, and their brethren must follow and serve when the chunin commands.","NJD200006
Devil Island",Kagejima,Testing,
81,Ijin Kaiken,monster,IJIN MINION,Citrine,6,1,"Melee 1
3B",1W,1B,3B,1,1,8-Bit,Rampage,"(Red 1) Shadow Strike: Melee, Lance 3, Charge",Rampage: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.l9bxdrrnwj62,"In the Ijin's harsh homeland, kaiken are common, as they are the foot soldiers of clan Ijin. The Ijin struggle and succeed every day through pure, raw strength. Shaped by darkness and sculpted by hard labor, they are tough, iron-fisted, and suffer no insult. Any who trespass or insult the Ijin will face the wrath of the kaiken, each warrior having earned their place in the ranks through a test of might. ","NJD200006
Devil Island",Kagejima,Testing,
82,Ijin Kunoichi,monster,IJIN ELITE,Citrine,7,2,"Melee 1
3B",0W,2B,"Missile 4
3B",1,1,8-Bit,"Rampage, Surefoot","(Red 2) Shuriken Storm: Missile, Sweep 3

(Blue 1) Smoke Bomb: Augment, Aura 2, Stealth",Rampage: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.l9bxdrrnwj62,"The Ijin kunoichi are elite warriors. To join the ranks of the kunoichi, a kaiken must pass both a test of might, and a test of cunning. While the Ijin value strength above all else, the kunoichi are highly skilled in the most effective points to apply that strength. In other words, while all Ijin agree that smashing something is the best way to resolve a conflict, the kunoichi acknowledge that what you smash matters.","NJD200006
Devil Island",Kagejima,Testing,
83,Ijin Oni,monster,IJIN ELITE,Citrine,6,2,"Melee 3
2B 1R",2R,1B,3B,2,2,16-Bit,"Bulwark, Frenzy, Rampage","(Red 2) To The Heavens: Melee, Sweep 2, Push 2, Immobile","Frenzy: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.memxjaz0eqms

Immobile: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.yg34p2ijeteg

Rampage: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.l9bxdrrnwj62","The void witches of the Ijin have bartered an unusual peace with the mighty oni that roam their lands. These oni are fearsome, brutal, and often wield mighty clubs in battle. They are ferocious allies for clan Ijin, and in many ways the Ijin share more similarities with these monstrous oni than they do the other clans.","NJD200006
Devil Island",Kagejima,Testing,
84,Ijin Yajiri,monster,IJIN MINION,Emerald,6,1,3B,0W,1B,"Missile 6
3B",1,1,8-Bit,Poison,,Poison:,"The life of an Ijin is hard, brutal, and unforgiving. Often, Ijin warriors suffer crippling injuries that would relegate a member of any other clan to a life of bed-rest, or at least humble farming. When Ijin face such difficulties, they pick up a crossbow and join the ranks of the yajiri. These hardened and wizened veterans engage the enemy at range, stubbornly refusing to give up the fight, or leave it to younger warriors.","NJD200006
Devil Island",Kagejima,Testing,
85,Ijin Madoushi,spawning point,IJIN SPAWNING POINT,Citrine,2,1,3B,1W,1B,"Magic 3
3B",3,2,START/16-Bit,"Active Spawn, Immune Status Effects, Rampage","(Blue 1) Blood Frenzy: All friendly monsters on this tile gain Improved Critical to all offensive actions for the remainder of the turn. Then, this model suffers one wound. (If this spawning point is destroyed, Heroes gain loot as normal.)","Improved Critical: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.48o2ezf67jnx

Rampage: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.l9bxdrrnwj62

Active Spawn: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.3ebd1h8ljyrv

Spawning Pool: 
1 x Ijin Madoushi
1x Ijin Yajiri
2x Ijin Kaiken
2x Ijin Kunoichi
1x Ijin Oni","Ijin Madoushi have learned some of the mystical ways of the void witches, and they use this power to stir their fellow Ijin into a blood frenzy, calling them to battle.","NJD200006
Devil Island",Kagejima,Testing,
86,Shinigami,Mini-Boss,Undead Mini-Boss,Amethyst,8,3,2B,2R,"Magic 2
2W 1G",3B,6,4,SUPER,"Immune: Status Effects, Ghost","(Blue 2) Death Pact: Range 6, WILL vs WILL, Place a Death Pact token on the target. When a model with a Death Pact token inflicts a wound it also suffers a wound. The token is removed when Shinigami or the model is destroyed.

(Red 2) Lifesap: Dangerous, Magic, Wave 1, For every wound inflicted by Lifesap, remove one wound token from Shinigami.

","Ghost:

Immune: Status Effects:","Few types of death spectre inspire such dread as Kagejima's shinigami. These deadly spirits lure victims into cursed pacts, offering up knowledge or power that inevitably leads to an unfortunate death. Indeed, so insidious and cruel are these pacts that many seek death in order to end the suffering their bargain causes.","NJD204012
Shinigami",Kagejima,Complete,"1. Shinigami - Explore
2. Shinigami - Arcade
3. Death's Notebook - Treasure"
87,Inu Clan Kaiken (Adzuki),Hero,Chimera Hero,Citrine,6,3,"2R
Melee 1",3B,2B,3B,5,1,,Stay,"(Red 2) Chew to Pieces: Melee 1, +1R STR, Massive Damage

(Red 2) Mark Territory: Melee 1, this attack inflicts three wounds and may only target Spawning Points.

(Blue Potion) Water Bowl: Augment, Rampage","Massive Damage: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.f7zrn8eyokn5

Rampage: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.l9bxdrrnwj62

Stay: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.o04jcksq26f1",,"NJD200006
Devil Island",Kagejima,Testing,
